DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018.08.09,116096,116189,115253,115265,58810
2018.08.10,115262,115360,113878,114111,112034
2018.08.13,113714,114324,113646,114096,101338
2018.08.14,114095,114290,113297,113436,81007
2018.08.15,113429,113546,113006,113444,80064
2018.08.16,113452,114088,113353,113758,87129
2018.08.17,113758,114445,113660,114381,75130
2018.08.20,114366,114846,113940,114807,61642
2018.08.21,114802,116008,114793,115700,85498
2018.08.22,115696,116226,115528,115958,75217
2018.08.23,115936,115993,115292,115378,73006
2018.08.24,115369,116394,115344,116218,76788
2018.08.27,116160,116932,115941,116777,64033
2018.08.28,116766,117333,116622,116939,73221
2018.08.29,116939,117096,116514,117063,82808
2018.08.30,117063,117178,116413,116697,79792
2018.08.31,116652,116897,115842,116021,87294
2018.09.03,115955,116275,115885,116180,51281
2018.09.04,116169,116207,115297,115804,69457
2018.09.05,115801,116398,115422,116289,77201
2018.09.06,116297,116588,116050,116226,79031
2018.09.07,116226,116491,115501,115526,84349
2018.09.10,115494,116158,115255,115930,59122
2018.09.11,115923,116438,115650,116045,61376
2018.09.12,116041,116493,115696,116252,67488
2018.09.13,116253,117007,116087,116897,64885
2018.09.14,116892,117213,116202,116219,62858
2018.09.17,116231,116978,116175,116829,50096
2018.09.18,116829,117241,116517,116650,76822
2018.09.19,116649,117146,116496,116720,69430
2018.09.20,116718,117842,116685,117765,76388
2018.09.21,117762,118024,117323,117537,72001
2018.09.24,117405,118148,117237,117472,61072
2018.09.25,117480,117921,117304,117658,66466
2018.09.26,117653,117974,117256,117379,77756
2018.09.27,117362,117568,116385,116407,86181
2018.09.28,116407,116509,115693,116020,78258
2018.10.01,116156,116243,115632,115778,64958
2018.10.02,115790,115800,115048,115460,70105
2018.10.03,115474,115933,114639,114766,84237
2018.10.04,114762,115424,114630,115134,82675
2018.10.05,115139,115494,114837,115234,89767
2018.10.08,115205,115292,114596,114907,65049
2018.10.09,114903,115029,114318,114899,90038
2018.10.10,114899,115450,114794,115182,79873
2018.10.11,115186,115989,115175,115930,115300
2018.10.12,115861,116101,115339,115584,78170
2018.10.15,115364,116059,115364,115784,68232
2018.10.16,115786,116209,115657,115733,67195
2018.10.17,115733,115801,114954,114999,78065
2018.10.18,115000,115268,114487,114523,86453
2018.10.19,114522,115342,114326,115142,87116
2018.10.22,115160,115498,114553,114637,66533
2018.10.23,114635,114931,114389,114697,85905
2018.10.24,114704,114761,113783,113911,89697
2018.10.25,113919,114322,113558,113746,83219
2018.10.26,113731,114206,113353,114021,87255
2018.10.29,113978,114160,113602,113720,74259
2018.10.30,113719,113874,113401,113431,66558
2018.10.31,113431,113598,113017,113135,72835
2018.11.01,113134,114238,113123,114014,78589
2018.11.02,114014,114555,113718,113859,82634
2018.11.05,113853,114236,113526,114067,65926
2018.11.06,114064,114375,113910,114260,65627
2018.11.07,114261,114994,113942,114255,103065
2018.11.08,114253,114465,113512,113629,82459
2018.11.09,113628,113685,113157,113343,79538
2018.11.12,113184,113303,112153,112174,76096
2018.11.13,112176,112933,112162,112898,87913
2018.11.14,112904,113472,112628,113080,97984
2018.11.15,113089,113620,112703,113255,101325
2018.11.16,113249,114199,113211,114140,79708
2018.11.19,114136,114640,113935,114524,57093
2018.11.20,114529,114719,113583,113695,68152
2018.11.21,113695,114243,113645,113843,63793
